Period,Value1 book,Value2 sgs,Value sg,Value htg
07-Jul,1220,3165,6333,1102
07-Aug,2327,3378,7750,1084
07-Sep,1578,2712,6351,1102
07-Oct,1129,2570,5973,1275
07-Nov,1227,2939,7384,2208
07-Dec,2179,4496,11235,3253
08-Jan,2300,2315,6532,1045
08-Feb,1157,2415,5495,1078
08-Mar,1026,2995,6107,1185
08-Apr,1004,2984,5910,1082
08-May,1158,3276,6463,1132
08-Jun,1073,3408,6363,1045
08-Jul,1121,3308,6371,1100
08-Aug,2425,3543,7964,1067
08-Sep,1471,2725,6183,1063
08-Oct,1024,2482,5616,1221
08-Nov,1034,2796,6746,1964
08-Dec,2008,4530,10811,3125
09-Jan,2189,2442,6428,1034
09-Feb,970,2347,5071,1012
09-Mar,945,2894,5718,1099
09-Apr,913,2959,5693,1089
09-May,1053,3119,5982,1068
09-Jun,1040,3290,6130,1025
09-Jul,1038,3209,6029,1062
09-Aug,2296,3418,7503,1011
09-Sep,1522,2779,6205,1067
09-Oct,960,2571,5594,1200
09-Nov,965,2788,6496,1850
09-Dec,1911,4758,10829,3013
10-Jan,2150,2373,6247,958
10-Feb,948,2303,4995,1005
10-Mar,948,3118,6033,1161
10-Apr,858,3001,5659,1065
10-May,1015,3078,5885,1036
10-Jun,1020,3413,6237,1030
10-Jul,1003,3266,6092,1077
10-Aug,2134,3415,7381,1046
10-Sep,1400,2828,6113,1080
10-Oct,905,2611,5658,1262
10-Nov,978,3107,6985,2003
10-Dec,1879,4894,10942,3082
11-Jan,1950,2414,6073,972
11-Feb,960,2456,5190,1030
11-Mar,881,3266,6172,1201
11-Apr,797,3246,6000,1192
11-May,936,3169,5960,1073
11-Jun,902,3505,6256,1069
11-Jul,865,3334,5997,1089
11-Aug,2142,3623,7627,1074
11-Sep,1335,3011,6372,1151
11-Oct,751,2746,5581,1252
11-Nov,797,3227,6904,1964
11-Dec,1400,4998,10515,3052
12-Jan,1716,2505,6049,1072
12-Feb,821,2723,5520,1192
12-Mar,756,3607,6536,1270
12-Apr,742,3304,5967,1156
12-May,887,3455,6361,1186
12-Jun,839,3829,6600,1130
